"variable","cor","p.value","n"
"tot",0.0774249684661504,0.626002471739819,42
"am_hyphae",0.0723903651164046,0.832486437934479,11
"amf_in_dry_soil",-0.493451043669565,0.506548956330435,4
"amf_tot",0.13985901495585,0.86014098504415,4
"arb",0.362179815995059,0.338141030557918,9
"coarse_amf",-0.0584004958908102,0.94159950410919,4
"dse",-0.356839722736392,0.311445139949485,10
"dse_hyphae",-0.508065026549259,0.491934973450741,4
"dse_in_dry_soil",-0.572749958142408,0.427250041857592,4
"dse_tot",-0.516435871897457,0.483564128102543,4
"fine_amf",0.653970060543386,0.346029939456614,4
"lse",-0.00801991838251602,0.983662832113143,9
"no_fungus",-0.0907581370939489,0.790714144994845,11
"olpidium",-0.197979017826217,0.609622844376108,9
"rlc_p",0.235136123820532,0.486430695185553,11
"spores",0.499781111053919,0.500218888946081,4
"vesicle_or_spore",-0.199326086212458,0.704970571948966,6
"dse_and_am",NA,NA,1
